id	name
585	Laso, F.J.
586	Lorenzo, e.a.
587	McGee, S.
588	Pérez Arellano, A.J.
589	Prieto Valtueña, JM
590	Raftery et al
591	López., R.
592	Surós y Surós
593	Walker, e.a.
594	Hampton, J.
595	Herring, W.
596	Houghton & Gray
597	Laposata, M.
598	Smith & Farrell
599	Martínez R., A., Erstnes B., G.
600	Miller M.
601	Marco, F.
602	Skinner HB et al
603	Sam W. Wiesel, John N. Delahay, Marc C. Connell
604	American Academy of Orthopedic Surgeons (AAOS)
605	Gasic Brzovic, Miguel
606	Greene, WB
607	Marco Martínez y Urda Martínez-Aedo
608	Munuera Martínes, L.
609	DeFroda. Steven F, Hansen. Heather, Gil. Joseph A, Hawari. Ashraf H, Cruz. Aristides I. Jr.
610	Di Chen, Jie Shen, Weiwei Zhao, Tingyu Wang, Lin Han, John L Hamilton & Hee-Jeong Im
611	Hvid Ivan, Parsch Klaus
612	Albala, C, et al
613	Astiasarán, I & Martínez, J.A.
614	Barker, D.
615	Gil Hernández, A.
616	González de León, D. et al
617	Salas-Salvado J. et al
618	Mahan, L.K.& Escott-Stump, S
619	Mataix, J.
620	Requejo, A. & Ortega, O.
621	Román, D.
622	Salas, L.
623	Alejandro, H.
624	Cervera, P.e.
625	EGO-Chile, M.d.
626	FAO
627	Marielle, C.e.
628	Ministerio de Salud
629	Ministerio de Salud
630	Ministerio de Salud
631	Ministerio de Salud
632	Ministerio de Salud
633	Ministerio de Salud
634	Minsal, Mineduc, Vida Chile, Chile Deportes, Inta, Universidad de Chile
635	Moreiras, O. (s.f.)
636	OPS/OMS, M.
637	Pizarro, F. et al
638	Planas, M. y P.
639	Vazquez, C.
640	Argimón Pallás, J. & Jiménez Villa, J.
641	Cuadras, C.
642	Dillon, W. & Goldstein, M.
643	Hernández, S. et al
644	Milton, J. & Tsokos J.O.
645	Milton, S.
646	Miranda, C. et al
647	Pita-Fernández, S. & Pértegas-Díaz, S.
648	Cunningham G., Redstone, C.
649	Soars L.
650	Marks J.
651	Murphy R.
652	Cunningham G., Redstone, C.
653	McCarter
654	McCarthy, M., McCarten, J. & Sandiford, H.
655	Murphy R.
656	Alexander, L.G.
657	Murphy J.
658	Murphy, R. & Altman, R.
659	Euliano & Gravenstein 
660	Jiménez Murillo y Montero Pérez
661	Giménez, M.
662	Kaisary et al
663	Kumar & Clark
664	Ian Wilkinson
665	Mandell, J.
666	Hampton, J.
667	Pagana et al
668	Al-Sukani et al
669	Cruz Hernández et al
670	San Miguel y Sánchez Guijo
671	Arancibia y Ugarte
672	Caimi y Caimi
673	Herrera et al
674	Jiménez Murillo y Montero Pérez
675	Rivas Jiménez, M
676	Brunicardi et al
677	Burdiles, P.
678	Carvajal, C.
679	Doherty, G.M.
680	Espinoza R.
681	Parrilla Paricio y Landa García
682	Townsend et al
683	Argente & Alvarez
684	Nicola Zammit
685	Benjamín, I.
686	Bhat et al
687	Bickley
688	Douglas et al
689	Goic et al
690	Kasper, e.a.
691	Laso, F.J.
692	Lorenzo, e.a.
693	McGee, S.
694	Pérez Arellano, A.J.
695	Prieto Valtueña, JM
696	Raftery et al
697	López., R.
698	Surós y Surós
699	Walker, e.a.
700	Hampton, J.
701	Herring, W.
702	Houghton & Gray
703	Laposata, M.
704	Smith & Farrell
705	Albert, Lori
706	Rúa-Figueroa Fernández de Larrinoa, I
707	Sánchez et al
708	O'Young et al
709	Frontera et al
710	González-Mas, R.
711	Maitin I.
712	Miranda Mayordomo y Flores García
713	Montgomery, H. &.
714	Pleguezuelos Cobo et al
715	Viladot Pericé et al
716	Zollman F.
717	Alonso, I Simón, P. Sanchez
718	Guarda & Gubelin
719	Wolff et al
720	Bolognia et al
721	Ferrándiz, C.
722	Habif, T.
723	McGee, S.
724	Prieto Valtueña, JM
725	Raftery et al
726	López., R.
727	Surós y Surós
728	Walker, e.a.
729	Lubliner, D.
730	VV.AA.
731	Lambert, J. Lambert, S.
732	Fong, e.a.
733	Holzinger, A.
734	Hoyt, R.
735	Lahoz-Beltrá, R.
736	Lubliner, D.
737	Lyuboslavsky, V.
738	Hulley et al
739	Jiménez Villa et al
740	Katz, M.H.
741	Argimón-Pallás y Jiménez-Villa
742	Browner, W.
743	Byrne, D.
744	Cobo, E. M.
745	Cuello, G.
746	Dawson, G.
747	De Irala, J.
748	Duartge, O. &. Y.
749	Foriste, B. &.
750	Hall, G.
751	Hernández-Sampieri et al
752	Hodges & Tomas
753	Jagaadesh et al
754	Nieto & Szklo
755	Ruiz Morales & Gómez Restrepo
756	Straus et al
757	Watkins & Portney
758	Gestal-Otero & Fernández-Crehuet
759	Katz et al
760	Burdiles, P.
761	Gil Gregorio, P
762	Kasper, e.a.
763	Martín Z., et al
764	Restepro y Málaga
765	Acastello Eduardo
766	Ashcraft Keith
767	Behrman R. y kliegman R.
768	Cruz, M.
769	Fuller, J.
770	Muñoz Calvo M.T.
771	Games EJ, et al
772	Klass M.A., B.K.
773	Marcdante, KJ, et al
774	Martínez y Martínez, R.
775	Bernstein D, Shelov SP.
776	CENECET
777	Sabiston D.
778	Valoria J.
779	Lissauer T, Clayden G.
780	Ruiz Frutos et al
781	LaDou, J. & Harrison, R.
782	LaDou, J. & Harrison, R.
783	Alli, B.
784	Ceballos Atienza, R.
785	Fernández, R.
786	Hodgson, Ernest
787	Koh & Aw.
788	Nava, R.
789	Nava, R.
790	Nogue-Xaraus S.
791	Ojeda Gil, José A.
792	Oliva, E.
793	Pillay, VV
794	Rojas, M.
795	Graue E.
796	García-Feijoo, Julián y Pablo-Júlvez, Luis E.
797	Alezzandrini, A.
798	Kanski J.
799	Kanski J.
800	Cremers AL, Bowers J., et al
801	Palis, A.G.
802	Hulley et al
803	Jiménez Villa et al
804	Katz, M.H.
805	Argimón-Pallás y Jiménez-Villa
806	Browner, W.
807	Byrne, D.
808	Cobo, E. M.
809	Cuello, G.
810	Dawson, G.
811	De Irala, J.
812	Duartge, O. &. Y.
813	Foriste, B. &.
814	Hall, G.
815	Hernández-Sampieri et al
816	Hodges & Tomas
817	Jagaadesh et al
818	Nieto & Szklo
819	Ruiz Morales & Gómez Restrepo
820	Straus et al
821	Watkins & Portney
822	Chantal et al
823	Martín, Z. et al
824	Kopitowski et al
825	Montero, L.
826	Smith & Shimp
827	Argente & Alvarez
828	Nicola Zammit
829	Benjamín, I.
830	Bhat et al
831	Bickley
832	Burdiles, P.
833	Cruz Hernández et al
834	D'Hyver & Gutierrez
835	Douglas et al
836	Giménez, M.
837	Gil Gregorio, P
838	Goic et al
839	Gutiérrez et al
840	Ham et al
841	Herring, W.
842	Houghton & Gray
843	Jiménez Murillo y Montero Pérez
844	Kasper, e.a.
845	King & Lipsky
846	Kumar & Clark
847	Laposata, M.
848	Ian Wilkinson
849	Mandell, J.
850	Marín Larraín PP.
851	McGee, S.
852	Pagana et al
853	Quíck et al
854	Raftery et al
855	Walker, e.a.
856	Gisbert Clabuig, J.A.
857	Teke Schlicht, A.
858	Hernández, C.
859	Madea B.
860	Saukko P., Knight, B.
861	J. Wyatt, T. Squires, G. Norfolk, J. Payne-James
862	Humberto Giugni
863	Vargas Alvarado, E.
864	García Garduza, I.
865	García Arellano, JF.
866	Di Maio, V., Dana, S.
867	Rodríguez Calvo MS, Vazquez-Portomeñe F.
868	Rodríguez Calvo MS, Vazquez-Portomeñe F.
869	Rodríguez Calvo MS
870	Bogusz, M.J.
871	Dart, R. C.
872	Levine, B.
873	Butler, JM
874	Jobling MA, Gill P
875	Kayser M., de Knijff P.
876	
877	
878	
879	Cuello M., Miranda V. Y Ralph C.
880	Cunningham, Gary, Leveno, Kenneth J., Bloom, Steven L., 6 Spong, Catherine Y.
881	Bradshaw, Karen D., Corton, Marlene M., Halvorson, Lisa M., Hoffman, Barbara L., Schaffer, Marlene., & Schorge, John O.
882	Ebensperger, E., & Lizana, J.
883	Beckmann et al
884	Creasy & Resnick
885	Dechernety et al
886	Gabbe et al
887	Hoffman, B. et al
888	Kenny & Bickerstaff
889	lobo et al
890	Matorras y Remohi
891	Roura y Rodríguez
892	Strauss & Barbieri
893	Marín Larraín PP.
894	King & Lipsky
895	D'Hyver & Gutierrez
896	Gil Gregorio, P
897	Gutiérrez et al
898	Ham et al
899	Kane et al
900	Rodríguez & Lazcano
901	Thompson et al
902	Arancibia & Ugarte
903	Argente & Alvarez
904	Nicola Zammit
905	Benjamín, I.
906	Bhat et al
907	Bickley
908	Brunicardi et al
909	Burdiles, P.
910	Carvajal, C.
911	Caimi y Caimi
912	Cruz Hernández et al
913	Doherty, G.M.
914	Douglas et al
915	Giménez, M.
916	Goic et al
917	Hampton, J.
918	Hampton, J.
919	Herring, W.
920	Houghton & Gray
921	Jiménez Murillo y Montero Pérez
922	Jiménez Murillo y Montero Pérez
923	Kaisary et al
924	Kasper, e.a.
925	Kumar & Clark
926	Laposata, M.
927	Laso, F.J.
928	Ian Wilkinson
929	Lorenzo, e.a.
930	Mandell, J.
931	McGee, S.
932	Pagana et al
933	Pérez Arellano, A.J.
934	Prieto Valtueña, JM
935	Quíck et al
936	Raftery et al
937	Rivas Jiménez, M
938	Rozman y Cardellach López
939	Smith & Farrell
940	Surós y Surós
941	Walker, e.a.
942	Townsend et al
943	Lalwani, A.
944	Peñaranda, A.
945	Arrieta, P. & Prado, C.
946	Chan & Goddard
