asignatura	semestre	detalle	tipoBibliografia	copias	id	disponibilidad	carrera	
Taller I Petrografía y Mineralogía	SEGUNDO	Groeber, P.|1938|Mineralogía y geología|Espasa-Calpe Argentina	COMPLEMENTARIA	0	0	0	asistenteGeologia	
Taller I Petrografía y Mineralogía	SEGUNDO	Klein, C., & l lurlbut, C. S.|1997|Manual de mineralogía Vol. 2|Reverté,	COMPLEMENTARIA	21	9793	1	asistenteGeologia	
Innglés I	SEGUNDO	UDA English Center|2018|Material propio elaborado por académicos|0	OBLIGATORIA	0	0	0	asistenteGeologia	
Innglés I	SEGUNDO	Hill, H.|2015|Diccionario Cambridge Pocket|Cambridge, United Kingdom: Cambridge University Press	COMPLEMENTARIA	20	28320	1	asistenteGeologia	
Innglés I	SEGUNDO	Marks, J.|2007|English Pronunciation in Use Elementary|Cambridge University Press	COMPLEMENTARIA	2	28421	1	asistenteGeologia	
Innglés I	SEGUNDO	McCarthy, M., McCarten, J., & Sandiford, H.|2014|Touchstone 1|2|Cambridge University Press	COMPLEMENTARIA	1	28297	1	asistenteGeologia	
Innglés I	SEGUNDO	Murphy, R.|2015|English Grammar in Use Elementary|Cambridge University Press.	COMPLEMENTARIA	2	26240	1	asistenteGeologia	
Innglés I	SEGUNDO	Wilson, K.|2016|Smart Choice 1|3|Oxford University Press	COMPLEMENTARIA	3	27243	1	asistenteGeologia	
Innglés I	SEGUNDO	Wilson, K., & Healy, T.|2016|Smart Choice Starter|3|Oxford University Press	COMPLEMENTARIA	3	27245	1	asistenteGeologia	
Topografía y Cartografía	SEGUNDO	Bannister. A., Raymond, S., Baker, R., de la Cera Alonso, J., & López, R. O.|2002|Técnicas modernas en topografía|Alfaomega	OBLIGATORIA	3	2456	1	asistenteGeologia	
Topografía y Cartografía	SEGUNDO	Domínguez García Tejero, F., Thompson, M. M., Lillcsand, T. M., Kiefer, R. W., Venegas, M., Veruette, F., & Schmoock Pivaral, W. J.|2002|Topografía general y aplicada|American Society of Photogrammetry	OBLIGATORIA	2	2403	1	asistenteGeologia	
Topografía y Cartografía	SEGUNDO	Gutiérrez, C. P., & Nieto, A. L. M.|2006|Teledetección: nociones y aplicaciones|Carlos Perez	OBLIGATORIA	0	0	0	asistenteGeologia	
Topografía y Cartografía	SEGUNDO	Domínguez García-Tejero, F.|1998|Topografía general y aplicada|Mundi-Prensa	COMPLEMENTARIA	2	2403	1	asistenteGeologia	
Topografía y Cartografía	SEGUNDO	McCormac, J.|2008|Topografía (No. 526.9 M131t)|México, MX: Limusa: Wiley.	COMPLEMENTARIA	1	2459	1	asistenteGeologia	
