PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
CARRERA:	TÉCNICO UNIVERSITARIO ASISTENTE DE GEOLOGÍA.					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB	Disponibilidad
Métodos de Explotación		Rodríguez, R., & García-Cortés, Á. (2006). los residuos minero-metalúrgicos en el medio ambiente. Instituto Geológico y Minero de España.	COMPLEMENTARIA	0		0
Métodos de Explotación		Mendieta Cordova, S. C. (2018). Elaboración de PETS y estándares operacionales para minimizar incidentes-accidentes en la Compañía Minera Lincuna SA año 2016.	COMPLEMENTARIA	0		0
Metalogénesis 	Tercero	Castro Dorado, A. (2015). Petrografía de rocas ígneas y metamórficas. Madrid: Paraninfo.	OBLIGATORIA	0		0
Metalogénesis 	Tercero	Rojas Caballero, D. and Paredes, J. (2008). Compendio de geología general. Lima: EDUNI.	OBLIGATORIA	0		0
Metalogénesis 	Tercero	Sillitoe Richard. (2003). lron oxide-copper-gold deposits: an Andean view. Mineralium Deposita	OBLIGATORIA	0		0
Metalogénesis 	Tercero	Tarbuck, E. and Lutgens, F. (2005). Ciencias de la tierra. Madrid: Prentice Hall.	OBLIGATORIA	3	25951	1
Metalogénesis 	Tercero	Tosdal R. and Richards J. (2001). Magmatic and Structural Controls on the	OBLIGATORIA	0		0
Metalogénesis 	Tercero	Development of Porphyry Cu+Mo+Au Deposits. Society of Economic Geologists	OBLIGATORIA	0		0
Metalogénesis 	Tercero	Andrés Mac-Lean COCHILCO, Desarrollo Minero en Chile: Análisis y Desafíos	OBLIGATORIA	0		0
Metalogénesis 	Tercero	Castro Dorado, A. (1989). Petrografía de rocas ígneas y metamórficas. Madrid: Paraninfo.	COMPLEMENTARIA	0		0
Metalogénesis 	Tercero	Comisión Chilena del Cobre, Anuario de Estadística del Cobre y otros Minerales	COMPLEMENTARIA	0		0
Geología de Campo 	Tercero	Castro, A (2015). Petrografía de rocas ígneas y metamórficas.	OBLIGATORIA	0		0
Geología de Campo 	Tercero	Lisie, R (2003). Geological Structures and Maps: A Practica! Guide.	OBLIGATORIA	1	25938	1
Geología de Campo 	Tercero	Hans Niemeycr R. Geología Estructural	OBLIGATORIA	0		0
Geología de Campo 	Tercero	Tarbuck, E. J., & Lutgens, F. K. (2005). Ciencias de la Tierra. Universitario, 32.	COMPLEMENTARIA	3	25951	1
Geología Ambiental 	Tercero	Ayala-Carcedo, r:.J. y Oleína Cantos, J. (coord.) (2002). Riesgos naturales. Ariel Ciencia.	OBLIGATORIA	0		0
Geología Ambiental 	Tercero	Keller, E.A. (2000). Environmental Geology. Prentice Hall.	OBLIGATORIA	1	23912	1
Geología Ambiental 	Tercero	CEPAL-GTZ, (2005). Elementos conceptuales para la prevención y reducción de daños originados por amenazas socionaturales. Cuadernos de la CEPAL Nº 91. Santiago de Chile. 133 páginas.	OBLIGATORIA	0		0
Geología Ambiental 	Tercero	Instituto Tecnológico y Geominero de España (1988). Riesgos geológicos. Ed. Servicio de publicaciones del IGME. Serie Geología Ambiental. Madrid.	OBLIGATORIA	0		0
Geología Ambiental 	Tercero	Anguita Virella, r:. y Moreno Serrano, F. (1993). Procesos geológicos externos y geología ambiental. Ed. Rueda. Alcorcón (Madrid). f-Cl/551.3 ANG pro	COMPLEMENTARIA	0		0
Geología Ambiental 	Tercero	Ayala, F. y [ordá, J.F. (coord.) (1988). Geología Ambiental. ITGE. Madrid	COMPLEMENTARIA	0		0
Geología Ambiental 	Tercero	Aswathanarayana, U. (1995). Geoenvironment. An introduction. Ed. Balkema. Rotterdam. r:Ct/504 ASW geo.	COMPLEMENTARIA	0		0
Proyecto de Titulación 	Tercero	Tugendhat, E., Vicuña,A.. M., & López, C. (2001). El libro de Manuel y Camilo: Diálogos sobre ética. Barcelona: Gedisa Editorial.	OBLIGATORIA	0		0
Proyecto de Titulación 	Tercero	Muríoz, R. C. (2011). Cómo elaborar y asesorar una investigación de tesis {2a. ed.J. Naucalpan de Juárez: Pearson Educación.	OBLIGATORIA	1	24839	1
Proyecto de Titulación 	Tercero	"Naupas, P. H., Valdivia, D. M. R., Palacios, V. J. J., & Romero, D. H. E. (2018). Metodología  e la investigación: Cuantitativa-cualitativa y redacción de la tesis.
"	COMPLEMENTARIA	0		0
Proyecto de Titulación 	Tercero	Fernández. S. R., & Fernández, C. C. B.L.M. P. (January 01, 2010). Metodología de la investigación	COMPLEMENTARIA	18	25115	1
Práctica Laboral 	Tercero	Barbera, E. (2008). El estilo e-portafolio. Barcelona: UOC.	OBLIGATORIA	1	25975	1
		"Klenowski, V. (2014). Desarrollo de portafolios para el aprendizaje y la evaluación.Madrid: Narcea Edición.
"	OBLIGATORIA	1	22639	1
		Valles, M. M. S. (2009). Técnicas cualitativae investigación social: Reflexión metodológica y práctica profesional. Madrid: Síntesis.	COMPLEMENTARIA	8	14923	1
		Adler, R. 8., Elrnhorst, J. M., Mascaró, S. P., & González, P. J. R. (2005). Comunicación organizacional: Principios y prácticas para negocios y profesiones. México: McGraw-Hill.	COMPLEMENTARIA	3	20977	1
