PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
CARRERA:	TÉCNICO UNIVERSITARIO AUDITOR CONTABLE Y TRIBUTARIO					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB	Disponibilidad
Administración y Gestión en la Empresa 		Chiavenato, l., Sapiro,_ A., & Mascaro, S. P. (2011 ). Pleneecion estratégica: Fundamentos y aplicaciones. México: McGraw-Hill/lnteramericana Editores.	COMPLEMENTARIA	1	24717	1
Administración y Gestión en la Empresa 		• Chiavenato, l., Guzmán, B. M. P., & Mascaró, S. P. (2009). Comportamiento organizacional: La dinamica del  del éxito en las organizaciones. México: McGraw	COMPLEMENTARIA	11	24715-21225-28645	1
Administración y Gestión en la Empresa 		• Chiavenato, l. (2002). Admintstrecin; Teore; proceso y prctice. Bogot': McGraw-Hill	COMPLEMENTARIA	3	22677	1
Gestión Financiera 		Brigham, E., & Houston, J. (2001 ). Fundamentos de administración financiera. México: Continental.	OBLIGATORIA	4	21209	1
Gestión Financiera 		• Besley, S., & Brigham, E. (2001). Fundamentos de administración financiera. México: McGraw-Hill.	OBLIGATORIA	1	23697	1
Gestión Financiera 		• Van Horne, J. (1997). Administración Financiera. México: PEARSON.	OBLIGATORIA	3	10874 - 2180	1
Gestión Financiera 		Torres Gabriel (2001 ). Estados Financieros. Chile: Cono Sur. 	COMPLEMENTARIA	4	560- 17683- 23756	1
Legislación Empresarial II		Equipo Editorial Thompson, (2018), Manual de Consultas Tributarias 493-decla 2018	OBLIGATORIA	0		0
Legislación Empresarial II		• Editorial Thompson (2018), Manual de Consultas Tributarias 493-Declaraciones Juradas 2019	OBLIGATORIA	0		0
Legislación Empresarial II		• Javier López - Luis Ortiz, (2018), Compendio Leyes Tributarias año 2019	OBLIGATORIA	0		0
Legislación Empresarial II		• Vicente Salort S., (2018), Código Tributario ed. Premium 2018	OBLIGATORIA	1	28085	1
Legislación Empresarial II		• José Fajardo Castro, (2018), Tri-Ley 2018 (cód. Tributario-lVA)	OBLIGATORIA	0		0
Legislación Empresarial II		• José Fajardo Castro, (2018), Impuesto a la Renta 2019	OBLIGATORIA	2	28351	1
Legislación Empresarial II		• Anibal lrarrázaval, (2018), Contribución, Fundamentos y Uso	OBLIGATORIA	0		0
Legislación Empresarial II		• Fernando Torres Cárdenas, (2018), Manual de Consultas IFRS Bienes de Uso NICS	OBLIGATORIA	0		0
