PLANILLA DE NECESIDADES BIBLIOGRAFICAS 2022						
						
ENERGÍAS RENOVABLES Y EFICIENCIA ENERGÉTICA "					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS	NRO DE BIB	Disponibilidad
Seguridad Eléctrica		• Asfahl, C. R., & Sanchez, G. G. (2000). Seguridad industrial y salud. México: Prentice-Hall Hispanoamericana S.A.	OBLIGATORIA	3	22777	1
Seguridad Eléctrica		• Roldán, V. J. (2005). Prontuario básico de electricidad. Madrid: Thomson-Paraninfo.	COMPLEMENTARIA	3	22782	1
Taller III Solar Fotovoltaica 		lbáñez, P. M., Rosell, P. J. R., & Rosell, U. J. l. (2011). Tecnología solar. Madrid: Mundi-Prensa.	OBLIGATORIA	1	27145	1
Taller III Solar Fotovoltaica 		• Carta, G. J. A. (2013). Centrales de energías renovables: Generación eléctrica con energías renovables. Madrid: Pearson.	OBLIGATORIA	4	27464	1
Taller III Solar Fotovoltaica 		• Schmidt, R. (2012). Aplicaciones de energía solar fotovoltaica: Diseño, implementación, experiencias. Chile: Salviat Impresores.	COMPLEMENTARIA	0	0	0
Proyecto de Titulación 		Tugendhat, E., Vicuña, A.M., & López, C. (2001). El libro de Manuel y Camita: Diálogos sobre ética. Barcelona: Gedisa Editorial.	OBLIGATORIA	0	0	0
Proyecto de Titulación 		• Muñoz, R. C. (201 1 ). Cómo elaborar y asesorar una investigación de tesis (2a. ed.). Naucalpan de Juárez: Pearson Educación.	OBLIGATORIA	1	24839	1
Proyecto de Titulación 		• Ñaupas, P. H., Yaldivia, D.M. R., Palacios, Y. J. J., & Romero, D. H. E. (2018). Metodología de la investigación: Cuantitativa-cualitativa y redacción de la tesis.	COMPLEMENTARIA	9	27861	1
Proyecto de Titulación 		• Hernández, S. R., & Fernández, C. C. B. L. M. P. (January O 1, 201 O). Metodología de la investigación.	COMPLEMENTARIA	18	25115	1
Practica Laboral 		Barbera, E. (2008). El estilo e-portafolio. Barcelona: UOC.	OBLIGATORIA	1	25975	1
Practica Laboral 		"Klenowski, V. (2014). Desarrollo de portafolios para el aprendizaje y la evaluación.Madrid: Narcea Edición.
"	OBLIGATORIA	1	22639	1
Practica Laboral 		Valles, M. M. S. (2009). Técnicas cualitativa e investigación social: Reflexión metodológica y práctica profesional. Madrid: Síntesis.	COMPLEMENTARIA	8	14923	1
Practica Laboral 		Adler, R. 8., Elrnhorst, J. M., Mascaró, S. P., & González, P. J. R. (2005). Comunicación organizacional: Principios y prácticas para negocios y profesiones. México: McGraw-Hill.	COMPLEMENTARIA	3	20977	1
Practica Laboral 		Barbera, E. (2008). El estilo e-portafolio. Barcelona: UOC.	OBLIGATORIA	1	25975	1
Practica Laboral 		"Klenowski, V. (2014). Desarrollo de portafolios para el aprendizaje y la evaluación.Madrid: Narcea Edición.
"	OBLIGATORIA	1	22639	1
Practica Laboral 		Valles, M. M. S. (2009). Técnicas cualitativae investigación social: Reflexión metodológica y práctica profesional. Madrid: Síntesis.	COMPLEMENTARIA	8	14923	1
Practica Laboral 		Adler, R. 8., Elrnhorst, J. M., Mascaró, S. P., & González, P. J. R. (2005). Comunicación organizacional: Principios y prácticas para negocios y profesiones. México: McGraw-Hill.	COMPLEMENTARIA	3	20977	1
