BIBLIOGRAFIA INGENIERIA CIVIL INDUSTRIAL						
						
						
						
CARRERA:	INGENIERIA CIVIL INDUSTRIAL					
						
						
ASIGNATURA	SEMESTRE	DETALLE DE BIBLIOGRAFÍA 	TIPO DE BIBLIOGRAFIA	CANTIDAD DE COPIAS DISPONIBLES EN BIBLIOTECA 	NRO DE BIB# 	Prestamos 0
CALCULO IV	202	· Thomas – Finney. Calculo en Varias Variables. Addison Wesley.	NO INDICA	73	18169	
CALCULO IV	202	· Thomas, Finney. Cálculo con Geometría Analítica. Addison –Wesley. Iberoamericana. 1987. 515.15 T456ca	NO INDICA	7	2508	
CALCULO IV	202	· Swokowski, Earl. Cálculo con Geometría Analítica. Editorial Iberoamericana. 1989. 515.15 5979c	NO INDICA	5	2977	
CALCULO IV	202	· Zill, Dennis. Cálculo con Geometría Analítica. Editorial Iberoamericana. 1987. 515.15Z69	NO INDICA	7	2660	
CALCULO IV	202	· Leitthold, Louis. Cálculo con Geometría Analítica. Harta. 1997. 515.15 L533.	NO INDICA	306	11253	
CALCULO IV	202	· Boyce, W, Diprimo R. Ecuaciones Diferenciales y Problemas con Valores en la Frontera. Editorial Limusa. 1977. 515.35 B789.	NO INDICA	1	2624	0
CALCULO IV	202	· Zill, Dennis. Ecuaciones Diferenciales con Aplicaciones. Grupo Editorial Iberoamericana. 1988. 515.35 Z69.	NO INDICA	8	2728	
CALCULO IV	202	· Proher, M; Morrey, Ch. Análisis Matemático Moderno. Fondo Editorial Interamericano. 1970. 515 P967.	NO INDICA	11	1223	0
CALCULO IV	202	· Edwards y Penny. Calculo con Geometría Analítica. Prentice Hall. 1996. 515.15 E26.	NO INDICA	58	8640	
CALCULO IV	202	· Murray R. Spiegel. Teoría y Problemas de Cálculo Superior. Serie Schaum. 1980. 515.43 S755.	NO INDICA	36	2544	
CALCULO IV	202	· Murray R. Spiegel. Teoría y Problemas de Matemáticas Superiores para Ingenieros y Científicos. Serie Schaum. 1975. 510 S755	NO INDICA	3	2738	0
CALCULO IV	202	· Kreyzig, E. Matemáticas Avanzadas para Ingeniería volumen I y Volumen II. Editorial Limusa-Willey. 1978. 510 K92	NO INDICA	32	14575	0
ESTADISTICA I	201	· John E., Freund – Irwin Miller – Marylees Miller. Estadística Matemática con Aplicaciones. Grupo Editorial Prentice Hall.	NO INDICA	103	18165	
ESTADISTICA I	201	· Scheaffer Mc Clave. Probabilidad y Estadística para Ingeniería. Grupo Editorial Iberoamericana.	NO INDICA	0		
ESTADISTICA I	201	· Jay L., Devore. Probabilidad y Estadística para Ingeniería y Ciencias. Grupo Editorial International Thon Editores.	NO INDICA	0		
ESTADISTICA I	201	· Montgomery, Douglas C.; Runger, George C. Probabilidad y Estadística Aplicadas a la Ingeniería. Primera Edición. Mc Graw Hill México. 1996. 519.2 M787.	NO INDICA	15	7576-25911	
