id	internalId	name	year	edition	obligatory	copies
253	0	El Cerebro Humano: Libro de Trabajo	2014	0	0	0
254	0	Barr: El Sistema Nervioso Humano Una Perspectiva Anatómica	2014	0	0	1
255	0	Neuroanatomy: Text and Atlas	2012	0	0	0
256	0	Neuroanatomía Humana: Aspectos Funcionales y Clínicos	2004	0	0	1
257	0	Neuroanatomía	2008	0	0	1
258	0	Neuroanatomía Clínica	2014	0	0	4
259	0	Neuroanatomía Clínica: Texto y Atlas	2015	0	0	8
260	0	Texto y Atlas de Anatomía Prometheus T.III	2015	0	0	5
261	0	Goodman & Gilman's Pharmacological Basic of Therapeutics	2017	0	1	0
262	0	Goodman & Gilman. Las Bases Farmacológicas de la Terapéutica	2012	0	1	8
263	0	Farmacología Humana	2014	0	1	8
264	0	Manual de Washington de Terapéutica Médica	2017	0	0	10
265	0	Principios de Farmacología: Bases Fisiopatológicas del Tratamiento Farmacológico	2017	0	0	2
266	0	Farmacología RT	2015	0	0	0
267	0	Velázquez Farmacología Básica y Clínica	2008	0	0	5
268	0	Manual de Farmacología Básica y Clínica de Velazquez	2012	0	0	0
269	0	Farmacología: Texto y Atlas	2010	0	0	0
270	0	Medical Pharmacology at a Glance	2015	0	0	0
271	0	"Cursos ""Crash"": Lo esencial en Farmacología"	2013	0	0	0
272	0	Stockley's Drug Interactions (A Source Book of Interactions, Their Mechanisms, Clinical Importance and Management)	2016	0	0	0
273	0	Rang y Dale Farmacología	2016	0	0	2
274	0	Oxford Handbook of Práctical Drug Therapy	2011	0	0	0
275	0	Guía de Farmacología y Terapéutica	2014	0	0	0
276	0	Pharmacology Examination and Board Review	2015	0	0	0
277	0	Farmacología Básica y Clínica	2016	0	0	5
278	0	Farmacología LIR	2016	0	0	2
279	0	Inmunología Celular y Molecular	2015	0	1	15
280	0	Jawetz, Melnick & Adelberg Microbiología Médica	2016	0	1	10
281	0	Microbiología Médica de Sherrys	2011	0	1	0
282	0	Mandell, Douglas y Bennett Enfermedades Infecciosas: Principios y Práctica V.1-2	2016	0	1	10
283	0	Microbiología Médica	2017	0	1	15
284	0	Micología Médica Ilustrada	2011	0	0	0
285	0	Inmunología (Lippincott's Illustrated Reviews)	2013	0	0	0
286	0	Inmunología	2014	0	0	0
287	0	Actualidades en Micología Médica	2012	0	0	0
288	0	Inmunología de Kuby	2014	0	0	0
289	0	Inmunología. Molecular, Celular y Traslacional	2016	0	0	0
290	0	Roitt Inmunología. Fundamentos	2014	0	0	0
291	0	Microbiología y Parasitología Médicas	2012	0	0	0
292	0	Biostatistics: The Bare Essential	2014	0	1	5
293	0	Bioestadística	2014	0	0	0
294	0	Bioestadística para no Estadísticos. Bases para Interpretar Artículos Científícos	2007	0	0	5
295	0	Interpretación Fácil de la Bioestadística. La Conexión entre la Evidencia y las Decisiones Médicas	2009	0	0	2
296	0	PDQ Statistics	2007	0	0	0
297	0	Fundamentos de Bioestadística	2001	0	0	0
298	0	Bioestadística	2014	0	0	4
299	0	Texto Introductorio de Psiquiatría	2015	0	1	0
300	0	Psicopatología y Semiologia Psiquiátrica	2016	0	1	10
301	0	The Psychiatric Interview	2016	0	0	0
302	0	Fish' Clinical Psychopathology	2007	0	0	0
303	0	Oxford Psiquiatría	2000	0	0	0
304	0	Introducción a la Psicopatología	2013	0	0	0
305	0	Psiquiatría Clerkship	2016	0	0	0
306	0	The Maudsley Handbook of Practical Psiquiatría	2014	0	0	0
307	0	Sims Síntomas Mentales: Manual de Psicopatología Descriptiva	2016	0	0	2
